#0 ey,0 Sy,90 ey,90 Sy,45 ey,45 Sy
0.014114,61.025,0.027447,64.13,0.025345,64.253
0.014309,61.114,0.027803,64.244,0.025658,64.372
0.01452,61.209,0.028151,64.352,0.025992,64.464
0.014667,61.303,0.028521,64.463,0.026273,64.577
0.014837,61.401,0.028857,64.573,0.026477,64.673
0.015096,61.496,0.0292,64.668,0.02681,64.778
0.0152,61.586,0.029585,64.789,0.027094,64.887
0.015452,61.665,0.029909,64.874,0.027447,64.963
0.015655,61.742,0.030288,65.003,0.027706,65.079
0.015793,61.827,0.030592,65.085,0.027981,65.155
0.015981,61.918,0.030943,65.19,0.028294,65.272
0.016191,61.985,0.031279,65.277,0.028655,65.367
0.01638,62.071,0.031581,65.384,0.02885,65.474
0.016547,62.162,0.031805,65.454,0.029201,65.564
0.016704,62.257,0.032248,65.562,0.029521,65.676
0.016931,62.35,0.032526,65.655,0.029812,65.755
0.017111,62.429,0.032768,65.761,0.030063,65.859
0.017263,62.517,0.033179,65.835,0.030172,65.946
0.01744,62.591,0.033395,65.95,0.030643,66.051
0.017633,62.678,0.033594,66.036,0.030981,66.148
0.017786,62.736,0.033912,66.13,0.031179,66.23
0.018045,62.833,0.034302,66.233,0.031438,66.321
0.01816,62.905,0.034382,66.31,0.031724,66.416
0.018305,62.99,0.03479,66.423,0.031979,66.5
0.018529,63.073,0.035009,66.495,0.032243,66.579
0.018764,63.152,0.035421,66.601,0.032572,66.689
0.018925,63.231,0.03567,66.675,0.032842,66.756
0.019102,63.31,0.035871,66.768,0.033123,66.858
0.019268,63.397,0.036289,66.842,0.033423,66.925
0.019429,63.47,0.036608,66.948,0.033766,67.029
0.019659,63.544,0.036934,67.017,0.034107,67.109
0.01981,63.614,0.037264,67.124,0.034387,67.216
0.020073,63.699,0.037634,67.189,0.034688,67.286
0.020227,63.756,0.037893,67.287,0.034936,67.369
0.020446,63.824,0.0383,67.366,0.035088,67.451
0.020569,63.909,0.038674,67.471,0.035624,67.552
0.020644,63.99,0.039077,67.549,0.035819,67.63
0.02102,64.076,0.03946,67.649,0.036139,67.716
0.021172,64.131,0.039688,67.727,0.036559,67.806
0.021335,64.223,0.040115,67.825,0.036806,67.888
0.021538,64.313,0.040473,67.914,0.037091,67.976
0.021775,64.382,0.040873,67.99,0.037482,68.058
0.02177,64.431,0.041251,68.095,0.037662,68.141
0.022116,64.51,0.041471,68.156,0.037971,68.209
0.022178,64.594,0.041964,68.265,0.03845,68.303
0.022461,64.663,0.042361,68.325,0.038672,68.373
0.022628,64.738,0.042675,68.427,0.039106,68.477
0.022838,64.802,0.042849,68.478,0.039222,68.524
0.022926,64.886,0.043413,68.59,0.039574,68.631
0.023251,64.958,0.043636,68.647,0.039774,68.69
0.023282,65.027,0.044032,68.747,0.040185,68.791
0.023573,65.09,0.04435,68.802,0.04056,68.867
0.023646,65.153,0.04468,68.895,0.040836,68.944
0.023927,65.222,0.044897,68.964,0.04109,69.026
0.024173,65.296,0.045296,69.055,0.041309,69.105
0.024264,65.355,0.045717,69.125,0.041593,69.179
0.024411,65.416,0.045911,69.199,0.041985,69.248
0.024685,65.49,0.046308,69.278,0.042138,69.331
0.02475,65.557,0.04663,69.358,0.042477,69.397
0.024967,65.628,0.046995,69.436,0.042682,69.473
0.025247,65.713,0.047313,69.521,0.043229,69.554
0.025376,65.78,0.04757,69.602,0.043459,69.623
0.025615,65.849,0.048015,69.674,0.0435,69.661
0.025753,65.923,0.048272,69.751,0.043973,69.761
0.025959,65.978,0.048689,69.819,0.044405,69.831
0.026104,66.032,0.049059,69.912,0.044618,69.916
0.026266,66.099,0.049369,69.973,0.044977,69.972
0.026466,66.169,0.049767,70.068,0.045292,70.059
0.026523,66.222,0.050072,70.119,0.045409,70.11
0.026774,66.3,0.050433,70.198,0.045875,70.203
0.027026,66.37,0.050785,70.261,0.046197,70.267
0.027084,66.422,0.051208,70.346,0.046485,70.356
0.027363,66.486,0.051637,70.412,0.046921,70.428
0.027517,66.544,0.051871,70.483,0.047046,70.477
0.027704,66.615,0.052436,70.577,0.047392,70.555
0.027879,66.672,0.052721,70.635,0.047635,70.607
0.028083,66.728,0.053209,70.716,0.048211,70.702
0.028255,66.786,0.053535,70.768,0.048481,70.762
0.028559,66.859,0.053938,70.846,0.04876,70.833
0.028685,66.907,0.054815,71.008,0.049214,70.895
0.028858,66.979,0.055021,71.061,0.049652,70.984
0.028997,67.044,0.055523,71.163,0.049942,71.032
0.02933,67.122,0.055864,71.214,0.050385,71.128
0.029388,67.165,0.056332,71.307,0.050592,71.179
0.029731,67.248,0.056652,71.377,0.051005,71.271
0.029797,67.301,0.057149,71.447,0.051403,71.332
0.030002,67.363,0.057383,71.521,0.051728,71.396
0.030199,67.42,0.057708,71.576,0.052034,71.457
0.030441,67.48,0.058155,71.657,0.052572,71.542
0.030592,67.544,0.058339,71.697,0.052933,71.611
0.030791,67.597,0.059021,71.8,0.053101,71.668
0.03092,67.658,0.059243,71.845,0.053704,71.761
0.031273,67.741,0.059891,71.946,0.054079,71.829
0.03138,67.789,0.060263,71.993,0.054467,71.907
